ncp_zip,arrears,cumulative,number_of_ncps,cumulative_ncps,NAME,poverty.rateE,poverty.rateM,number_of_people_in_state_prison_from_this_zipcode_area,population_of_zipcode_tabulation_area_census_2010,incarceration_rate_per_100_000
21201,6.12456755,327693634,404,21435,ZCTA5 21201,28.9,3.4,169,16972,996
21202,13.70759962,247211939.48,795,15807,ZCTA5 21202,27.6,3.9,273,22832,1196
21205,10.69256569,283614217.58,632,18333,ZCTA5 21205,35.8,5,417,16146,2583
21206,20.239512469999998,199823190.62,1464,12724,ZCTA5 21206,12.3,2.1,392,50846,771
21207,18.12002571,217943216.33,1252,13976,ZCTA5 21207,13.8,2,379,48133,787
21208,4.211164,353954144.6,353,23324,ZCTA5 21208,8.9,2.4,62,33917,183
21209,1.40642504,367479939.29,114,24419,ZCTA5 21209,8.4,1.8,11,26465,42
21210,0.13048853,367610427.82,15,24434,ZCTA5 21210,8.5,2.2,3,14292,21
21211,1.9521461599999999,366073514.25,151,24305,ZCTA5 21211,9.5,2.2,88,17351,507
21212,8.3590113,321569066.45,549,21031,ZCTA5 21212,11.6,1.8,175,32322,541
21213,26.40409671,87466208.47,1589,5440,ZCTA5 21213,30.7,4,728,32733,2224
21214,5.85585621,345452030.35,394,22629,ZCTA5 21214,9.7,1.8,89,20564,433
21215,33.16558821,33165588.21,2145,2145,ZCTA5 21215,24.7,2.2,835,60161,1388
21216,23.414161359999998,158769642.69,1504,9975,ZCTA5 21216,25.6,3.4,591,32071,1843
21217,27.89652355,61062111.760000005,1706,3851,ZCTA5 21217,35.9,2.5,890,37111,2398
21218,24.143884829999998,111610093.3,1509,6949,ZCTA5 21218,24.6,2.8,640,49796,1285
21222,12.96486724,260176806.72,1080,16887,ZCTA5 21222,14.9,1.9,326,55786,584
21223,20.81403546,179583678.15,1285,11260,ZCTA5 21223,35.2,3.7,606,26366,2298
21224,12.74484517,272921651.89,814,17701,ZCTA5 21224,18.1,2.3,388,49134,790
21225,15.56112353,233504339.86,1036,15012,ZCTA5 21225,24.8,2.6,316,33545,942
21226,2.46110189,364121368.09,151,24154,ZCTA5 21226,12.9,6.8,35,7561,463
21227,6.03967669,333733310.69,493,21928,ZCTA5 21227,16.5,2.4,134,33534,400
21228,4.29095025,349742980.6,342,22971,ZCTA5 21228,6,1.3,84,47577,177
21229,23.74538803,135355481.33,1522,8471,ZCTA5 21229,18,2.4,525,45213,1161
21230,8.95080957,313210055.15,591,20482,ZCTA5 21230,14,2.1,251,33568,748
21231,5.86286345,339596174.14,307,22235,ZCTA5 21231,19.1,2.7,132,15748,838
21234,9.991054929999999,304259245.58,814,19891,ZCTA5 21234,8.2,1.1,162,69752,232
21236,3.63776227,361660266.2,297,24003,ZCTA5 21236,8.1,1.9,39,38474,101
21237,4.06835933,358022503.93,382,23706,ZCTA5 21237,7.2,2,97,30059,323
21239,10.653973070000001,294268190.65,744,19077,ZCTA5 21239,12.2,2.3,200,28793,695
