ncp_zip,arrears,cumulative,number_of_ncps,cumulative_ncps,NAME,poverty.rateE,poverty.rateM,number_of_people_in_state_prison_from_this_zipcode_area,population_of_zipcode_tabulation_area_census_2010,incarceration_rate_per_100_000
21201,1.46097718,67819756.18,215,9739,ZCTA5 21201,28.9,3.4,169,16972,996
21202,2.7751612000000003,50664408.5,411,7333,ZCTA5 21202,27.6,3.9,273,22832,1196
21205,2.53465388,53199062.38,327,7660,ZCTA5 21205,35.8,5,417,16146,2583
21206,3.5300926699999997,41948470.32,584,6001,ZCTA5 21206,12.3,2.1,392,50846,771
21207,3.0515501400000002,45000020.46,462,6463,ZCTA5 21207,13.8,2,379,48133,787
21208,0.64537367,70360352.42,109,10142,ZCTA5 21208,8.9,2.4,62,33917,183
21209,0.13122814000000002,72642521.99,24,10538,ZCTA5 21209,8.4,1.8,11,26465,42
21210,0.016180200000000002,72658702.19,3,10541,ZCTA5 21210,8.5,2.2,3,14292,21
21211,0.30810956,72511293.85,56,10514,ZCTA5 21211,9.5,2.2,88,17351,507
21212,1.9002576,61571894.54,248,8860,ZCTA5 21212,11.6,1.8,175,32322,541
21213,6.19043073,19999627.05,790,2693,ZCTA5 21213,30.7,4,728,32733,2224
21214,0.89939503,69714978.75,138,10033,ZCTA5 21214,9.7,1.8,89,20564,433
21215,7.21758286,7217582.86,1014,1014,ZCTA5 21215,24.7,2.2,835,60161,1388
21216,5.0169390599999995,25016566.11,730,3423,ZCTA5 21216,25.6,3.4,591,32071,1843
21217,6.59161346,13809196.32,889,1903,ZCTA5 21217,35.9,2.5,890,37111,2398
21218,4.87510476,29891670.87,678,4101,ZCTA5 21218,24.6,2.8,640,49796,1285
21222,2.18906544,57700020.15,318,8309,ZCTA5 21222,14.9,1.9,326,55786,584
21223,4.58650313,34478174,692,4793,ZCTA5 21223,35.2,3.7,606,26366,2298
21224,2.31189233,55510954.71,331,7991,ZCTA5 21224,18.1,2.3,388,49134,790
21225,2.8892268399999996,47889247.3,459,6922,ZCTA5 21225,24.8,2.6,316,33545,942
21226,0.35314974,71851179.96,54,10394,ZCTA5 21226,12.9,6.8,35,7561,463
21227,0.9958275400000001,68815583.72,156,9895,ZCTA5 21227,16.5,2.4,134,33534,400
21228,0.52200135,71498030.22,100,10340,ZCTA5 21228,6,1.3,84,47577,177
21229,3.94020365,38418377.65,624,5417,ZCTA5 21229,18,2.4,525,45213,1161
21230,1.8163848699999998,63388279.41,241,9101,ZCTA5 21230,14,2.1,251,33568,748
21231,1.4877930400000001,64876072.45,159,9260,ZCTA5 21231,19.1,2.7,132,15748,838
21234,1.48270655,66358779,264,9524,ZCTA5 21234,8.2,1.1,162,69752,232
21236,0.35200433000000003,72203184.29,64,10458,ZCTA5 21236,8.1,1.9,39,38474,101
21237,0.6156764499999999,70976028.87,98,10240,ZCTA5 21237,7.2,2,97,30059,323
21239,1.9716167900000001,59671636.94,303,8612,ZCTA5 21239,12.2,2.3,200,28793,695
